order,instance_id,symbol,category,instrument_type,poc_anchor,rationale
61,OG061_UNG,UNG,Commodity,ETF,FALSE,Natural-gas futures proxy with strong overnight price discovery
62,OG062_PPLT,PPLT,Commodity,ETF,FALSE,Platinum proxy broadens precious-metal behavior
63,OG063_CORN,CORN,Commodity,ETF,FALSE,Corn-futures proxy with weather and overnight market information
64,OG064_FXE,FXE,Currency,ETF,FALSE,Euro currency proxy and direct European macro challenger
65,OG065_FXY,FXY,Currency,ETF,FALSE,Japanese-yen currency proxy
66,OG066_FXB,FXB,Currency,ETF,FALSE,British-pound currency proxy
67,OG067_FXA,FXA,Currency,ETF,FALSE,Australian-dollar currency proxy
68,OG068_FXC,FXC,Currency,ETF,FALSE,Canadian-dollar currency proxy
69,OG069_UPRO,UPRO,Leveraged or inverse ETF,ETF,FALSE,Three-times S&P 500 exposure tests leverage-induced gap scaling
70,OG070_TQQQ,TQQQ,Leveraged or inverse ETF,ETF,FALSE,Three-times Nasdaq-100 exposure
71,OG071_TNA,TNA,Leveraged or inverse ETF,ETF,FALSE,Three-times small-cap exposure
72,OG072_SPXU,SPXU,Leveraged or inverse ETF,ETF,FALSE,Inverse three-times S&P 500 semantic challenger
73,OG073_SQQQ,SQQQ,Leveraged or inverse ETF,ETF,FALSE,Inverse three-times Nasdaq-100 semantic challenger
74,OG074_TMF,TMF,Leveraged or inverse ETF,ETF,FALSE,Three-times long-duration Treasury exposure
75,OG075_MSFT,MSFT,Individual-stock challenger,Stock,FALSE,Liquid software platform from the prior stock atlas
76,OG076_TXN,TXN,Individual-stock challenger,Stock,FALSE,Long-history analog-semiconductor exposure
77,OG077_JPM,JPM,Individual-stock challenger,Stock,FALSE,Large diversified bank
78,OG078_AXP,AXP,Individual-stock challenger,Stock,FALSE,Payments and consumer-credit exposure
79,OG079_JNJ,JNJ,Individual-stock challenger,Stock,FALSE,Defensive diversified health-care company
80,OG080_UNH,UNH,Individual-stock challenger,Stock,FALSE,Managed-care exposure distinct from pharmaceuticals
81,OG081_XOM,XOM,Individual-stock challenger,Stock,FALSE,Integrated energy company
82,OG082_SLB,SLB,Individual-stock challenger,Stock,FALSE,Oilfield-services company with cyclical operating leverage
83,OG083_PG,PG,Individual-stock challenger,Stock,FALSE,Defensive consumer-products company
84,OG084_KO,KO,Individual-stock challenger,Stock,FALSE,Global beverage franchise
85,OG085_HD,HD,Individual-stock challenger,Stock,FALSE,Housing-linked home-improvement retailer
86,OG086_MCD,MCD,Individual-stock challenger,Stock,FALSE,Global restaurant franchise
87,OG087_CAT,CAT,Individual-stock challenger,Stock,FALSE,Construction and mining machinery cycle
88,OG088_UNP,UNP,Individual-stock challenger,Stock,FALSE,North American rail network
89,OG089_NEE,NEE,Individual-stock challenger,Stock,FALSE,Utility and renewable-development exposure
90,OG090_DUK,DUK,Individual-stock challenger,Stock,FALSE,Regulated utility exposure
91,OG091_APD,APD,Individual-stock challenger,Stock,FALSE,Industrial-gas company with long-history liquidity
92,OG092_SHW,SHW,Individual-stock challenger,Stock,FALSE,Coatings company tied to construction and industrial demand
